colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,543277.7426,OCTOBER
ACR-415,Acropora,734785.446,OCTOBER
ACR-416,Acropora,797694.2478,OCTOBER
ACR-417,Acropora,1071879.136,OCTOBER
ACR-418,Acropora,759288.7417,OCTOBER
ACR-420,Acropora,811897.7256,OCTOBER
ACR-421,Acropora,868169.333,OCTOBER
ACR-422,Acropora,970271.3653,OCTOBER
ACR-423,Acropora,839365.9513,OCTOBER
ACR-424,Acropora,533468.31,OCTOBER
ACR-425,Acropora,633470.4964,OCTOBER
ACR-426,Acropora,750218.0081,OCTOBER
ACR-427,Acropora,510579.7294,OCTOBER
ACR-428,Acropora,883857.1078,OCTOBER
ACR-429,Acropora,756084.2432,OCTOBER
ACR-430,Acropora,881608.4753,OCTOBER
ACR-431,Acropora,1126334.849,OCTOBER
ACR-432,Acropora,713956.8977,OCTOBER
ACR-433,Acropora,528400.2717,OCTOBER
ACR-434,Acropora,NA,OCTOBER
ACR-435,Acropora,660753.7611,OCTOBER
ACR-436,Acropora,735879.815,OCTOBER
ACR-437,Acropora,1047031.651,OCTOBER
ACR-438,Acropora,673300.9394,OCTOBER
ACR-439,Acropora,1010312.711,OCTOBER
ACR-446,Acropora,805577.4746,OCTOBER
ACR-447,Acropora,555151.4631,OCTOBER
ACR-448,Acropora,670294.1835,OCTOBER
ACR-449,Acropora,981998.6189,OCTOBER
ACR-451,Acropora,458221.8154,OCTOBER
ACR-456,Acropora,652611.2014,OCTOBER
ACR-457,Acropora,842642.0183,OCTOBER
ACR-458,Acropora,889004.0053,OCTOBER
ACR-459,Acropora,533745.5014,OCTOBER
ACR-460,Acropora,495630.6052,OCTOBER
ACR-461,Acropora,639307.2029,OCTOBER
ACR-462,Acropora,397797.8304,OCTOBER
ACR-463,Acropora,678221.5489,OCTOBER
ACR-464,Acropora,344273.3943,OCTOBER
ACR-465,Acropora,1563616.957,OCTOBER
