Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\September2022\20220929_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/29/2022,,,,,,,,,,,,,
Time,12:39:30 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.028,0.031,0.083,0.088,0.079,0.084,0.08,0.085,0.078,0.084,0.06,0.063,630
,,0.028,0.03,0.234,0.261,0.212,0.24,0.239,0.26,0.233,0.255,0.152,0.16,663
,,0.028,0.03,0.031,0.031,0.037,0.034,0.029,0.029,0.03,0.031,0.03,0.032,750
,B,0.065,0.075,0.075,0.079,0.065,0.067,0.082,0.087,0.059,0.061,0.092,0.096,630
,,0.173,0.195,0.216,0.232,0.17,0.18,0.249,0.268,0.154,0.164,0.279,0.301,663
,,0.03,0.034,0.032,0.031,0.031,0.03,0.029,0.029,0.036,0.029,0.032,0.031,750
,C,0.075,0.079,0.066,0.069,0.084,0.088,0.084,0.088,0.07,0.075,0.082,0.087,630
,,0.222,0.244,0.18,0.192,0.25,0.27,0.255,0.277,0.2,0.216,0.252,0.271,663
,,0.03,0.029,0.029,0.029,0.03,0.029,0.028,0.028,0.028,0.029,0.03,0.03,750
,D,0.122,0.128,0.079,0.077,0.077,0.087,0.071,0.074,0.092,0.095,0.078,0.083,630
,,0.39,0.432,0.247,0.19,0.231,0.256,0.202,0.225,0.287,0.312,0.232,0.248,663
,,0.036,0.032,0.03,0.041,0.031,0.038,0.03,0.028,0.031,0.028,0.029,0.03,750
,E,0.074,0.078,0.071,0.081,0.074,0.082,0.058,0.061,0.079,0.085,0.114,0.118,630
,,0.205,0.225,0.198,0.222,0.211,0.241,0.148,0.162,0.243,0.265,0.352,0.38,663
,,0.033,0.032,0.03,0.038,0.029,0.03,0.029,0.029,0.028,0.028,0.034,0.029,750
,F,0.08,0.087,0.075,0.081,0.087,0.102,0.09,0.094,0.062,0.061,0.085,0.091,630
,,0.229,0.258,0.223,0.245,0.257,0.29,0.274,0.302,0.156,0.168,0.265,0.288,663
,,0.032,0.032,0.028,0.028,0.028,0.036,0.034,0.031,0.029,0.028,0.028,0.029,750
,G,0.071,0.075,0.071,0.076,0.057,0.058,0.073,0.079,0.057,0.055,0.032,0.038,630
,,0.195,0.211,0.204,0.226,0.141,0.15,0.222,0.242,0.135,0.141,0.031,0.037,663
,,0.03,0.03,0.029,0.028,0.029,0.028,0.028,0.029,0.032,0.029,0.031,0.036,750
,H,0.045,0.034,0.031,0.034,0.033,0.032,0.039,0.03,0.03,0.031,0.037,0.036,630
,,0.045,0.033,0.03,0.034,0.032,0.032,0.038,0.029,0.03,0.031,0.037,0.035,663
,,0.044,0.033,0.03,0.033,0.032,0.031,0.038,0.029,0.03,0.03,0.036,0.035,750
