colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-414,SEPTEMBER,12.5,20220924,
ACR-415,SEPTEMBER,17.5,20220924,
ACR-416,SEPTEMBER,12.5,20220924,
ACR-417,SEPTEMBER,22.5,20220924,
ACR-418,SEPTEMBER,12.5,20220924,
ACR-420,SEPTEMBER,12.5,20220924,
ACR-421,SEPTEMBER,26,20220924,
ACR-422,SEPTEMBER,17.5,20220924,
ACR-423,SEPTEMBER,15,20220924,
ACR-424,SEPTEMBER,25,20220924,
ACR-425,SEPTEMBER,15,20220924,
ACR-426,SEPTEMBER,12.5,20220924,
ACR-427,SEPTEMBER,12.5,20220924,
ACR-428,SEPTEMBER,12.5,20220924,
ACR-429,SEPTEMBER,17.5,20220924,
ACR-430,SEPTEMBER,25,20220924,
ACR-431,SEPTEMBER,12.5,20220924,
ACR-432,SEPTEMBER,12.5,20220924,
ACR-433,SEPTEMBER,14,20220924,
ACR-434,SEPTEMBER,17.5,20220924,
ACR-435,SEPTEMBER,10,20220924,
ACR-436,SEPTEMBER,12.5,20220924,
ACR-437,SEPTEMBER,10,20220924,
ACR-438,SEPTEMBER,30,20220924,
ACR-439,SEPTEMBER,20,20220924,
ACR-446,SEPTEMBER,15,20220924,
ACR-447,SEPTEMBER,27.5,20220924,
ACR-448,SEPTEMBER,25,20220924,
ACR-449,SEPTEMBER,17.5,20220924,
ACR-451,SEPTEMBER,30,20220924,
ACR-456,SEPTEMBER,25,20220924,
ACR-457,SEPTEMBER,12.5,20220924,
ACR-458,SEPTEMBER,17.5,20220924,
ACR-459,SEPTEMBER,22.5,20220924,
ACR-460,SEPTEMBER,20,20220924,
ACR-461,SEPTEMBER,12.5,20220924,
ACR-462,SEPTEMBER,16,20220924,
ACR-463,SEPTEMBER,17.5,20220924,
ACR-464,SEPTEMBER,33,20220924,
ACR-465,SEPTEMBER,17.5,20220924,
