colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,133.377,138.616,
2,Standard,6.22,94.562,98.876,
3,Standard,5.08,44.26,46.316,
4,Standard,3.16,11.968,12.67,
5,Standard,2.52,6.298,6.721,
6,Standard,1.9,2.262,2.477,
7,Standard,1.18,0.581,0.666,
ACR-414,Coral,NA,3.575,4.277,
ACR-431,Coral,NA,3.212,3.826,
ACR-418,Coral,NA,2.674,3.26,
ACR-462,Coral,NA,2.388,3.1,
ACR-421,Coral,NA,5.067,6.026,
ACR-464,Coral,NA,12.996,14.097,
ACR-456,Coral,NA,7.751,8.818,
ACR-430,Coral,NA,5.702,6.694,
ACR-432,Coral,NA,1.92,2.401,
ACR-434,Coral,NA,4.7,5.567,
ACR-451,Coral,NA,6.246,7.336,
ACR-420,Coral,NA,2.055,2.516,
ACR-459,Coral,NA,2.427,3.049,
ACR-465,Coral,NA,2.497,2.975,
ACR-461,Coral,NA,2.68,3.056,
ACR-424,Coral,NA,5.689,6.443,
ACR-446,Coral,NA,7.265,8.09,
ACR-427,Coral,NA,3.735,4.373,
ACR-463,Coral,NA,4.922,5.542,
ACR-458,Coral,NA,2.736,3.44,
ACR-417,Coral,NA,2.469,3.198,
ACR-448,Coral,NA,8.36,9.519,
ACR-460,Coral,NA,3.952,4.748,
ACR-429,Coral,NA,9.982,10.628,
ACR-425,Coral,NA,4.055,4.408,
ACR-437,Coral,NA,1.639,2.074,
ACR-439,Coral,NA,6.067,7.005,
ACR-447,Coral,NA,3.734,4.56,
ACR-426,Coral,NA,1.582,1.933,
ACR-428,Coral,NA,1.083,1.487,
ACR-416,Coral,NA,1.575,2.034,
ACR-435,Coral,NA,2.043,2.91,
ACR-457,Coral,NA,4.089,4.843,
ACR-449,Coral,NA,2.132,2.756,
ACR-436,Coral,NA,3.298,3.856,
ACR-415,Coral,NA,3.419,4.114,
ACR-423,Coral,NA,3.812,4.346,
ACR-433,Coral,NA,3.338,4.126,
ACR-422,Coral,NA,3.544,4.129,
ACR-438,Coral,NA,5.189,6.341,
