colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV,
ACR-465,SEPTEMBER,3,145,133,155,137,153,114,NA,NA,NA,HM,13-Dec-22,46.5,5.058546124,10.87859382,
ACR-464,SEPTEMBER,1,150,167,165,189,174,174,NA,NA,NA,PH,9-Nov-22,169.8333333,12.85949714,7.571833448,
ACR-463,SEPTEMBER,2,146,103,159,115,113,107,,,,HM,13-Dec-22,61.91666667,11.49093846,18.55871622,
ACR-462,SEPTEMBER,1,129,176,181,142,177,143,160,170,NA,PH,28-Nov-22,159.75,19.4917565,12.20141252,
ACR-461,SEPTEMBER,1,126,134,112,97,129,91,141,93,NA,HM,13-Dec-22,115.375,19.80575313,17.16641658,
ACR-460,SEPTEMBER,1,178,156,167,171,184,191,NA,NA,NA,PH,10-Nov-22,174.5,12.53395389,7.182781596,
ACR-459,SEPTEMBER,4,113,112,107,120,141,111,,,,HM,13-Dec-22,29.33333333,3.084909507,10.51673696,
ACR-458,SEPTEMBER,1,110,118,103,126,101,116,NA,NA,NA,PH,22-Nov-22,112.3333333,9.521904571,8.476472912,
ACR-457,SEPTEMBER,1,208,192,222,182,187,205,NA,NA,NA,PH,28-Nov-22,199.3333333,15.0155475,7.53288336,
ACR-456,SEPTEMBER,1,189,168,171,200,196,168,NA,NA,NA,PH,9-Nov-22,182,14.71054044,8.082714527,
ACR-451,SEPTEMBER,4,161,145,201,191,246,203,223,209,NA,PH,7-Nov-22,49.34375,8.077678127,16.37021533,
ACR-449,SEPTEMBER,2,117,81,107,109,97,99,110,109,NA,HP,5-Nov-22,51.8125,5.560944807,10.73282472,redone
ACR-448,SEPTEMBER,1,143,174,153,176,197,182,,,NA,PH,10-Nov-22,170.8333333,19.69179186,11.52690255,
ACR-447,SEPTEMBER,2,119,78,111,112,82,82,82,106,NA,HP,9-Nov-22,48.25,8.493695141,17.60351324,
ACR-446,SEPTEMBER,1,163,149,161,165,149,176,NA,NA,NA,HP,5-Nov-22,160.5,10.31018914,6.423793854,
ACR-439,SEPTEMBER,1,182,175,203,184,161,182,NA,NA,NA,PH,22-Nov-22,181.1666667,13.64429063,7.531347171,
ACR-438,SEPTEMBER,1,204,193,155,210,162,172,,,,HM,13-Dec-22,182.6666667,22.87065077,12.52042925,
ACR-437,SEPTEMBER,1,167,182,190,201,218,192,NA,NA,NA,PH,22-Nov-22,191.6666667,17.23562203,8.992498449,
ACR-436,SEPTEMBER,1,221,225,197,235,180,169,,,,HM,13-Dec-22,204.5,26.60639021,13.01045976,
ACR-435,SEPTEMBER,1,170,170,145,167,174,186,NA,NA,NA,HP,5-Nov-22,168.6666667,13.38157938,7.933742715,
ACR-434,SEPTEMBER,1,120,140,143,150,125,150,NA,NA,NA,PH,24-Nov-22,138,12.72792206,9.223131929,
ACR-433,SEPTEMBER,1,145,138,130,135,143,149,NA,NA,NA,HP,5-Nov-22,140,6.985699679,4.989785485,
ACR-432,SEPTEMBER,1,231,246,248,245,256,279,NA,NA,NA,PH,24-Nov-22,250.8333333,15.99270667,6.375829902,
ACR-431,SEPTEMBER,1,204,197,214,216,196,215,NA,NA,NA,PH,10-Nov-22,207,9.208691547,4.448643259,
ACR-430,SEPTEMBER,2,154,158,173,191,195,170,NA,NA,NA,PH,28-Nov-22,86.75,8.371081173,9.649661294,
ACR-429,SEPTEMBER,1,167,216,171,194,212,207,NA,NA,NA,PH,28-Nov-22,194.5,21.13527856,10.86646713,
ACR-428,SEPTEMBER,2,195,158,95,151,176,163,,,,HM,13-Dec-22,78.16666667,16.91054898,21.63396457,
ACR-427,SEPTEMBER,1,152,126,119,148,91,123,130,112,,HM,13-Dec-22,125.125,19.45278166,15.54667865,
ACR-426,SEPTEMBER,5,143,158,140,147,113,225,224,214,NA,PH,5-Nov-22,34.1,8.758995376,25.68620345,
ACR-425,SEPTEMBER,2,87,172,177,125,96,210,,,,HM,13-Dec-22,72.25,24.63889202,34.10227269,
ACR-424,SEPTEMBER,3,132,130,136,100,107,103,,,,HM,13-Dec-22,39.33333333,5.444671197,13.8423844,
ACR-423,SEPTEMBER,1,137,178,163,156,168,185,NA,NA,NA,HP,5-Nov-22,164.5,17.00294092,10.3361343,
ACR-422,SEPTEMBER,1,118,103,105,149,112,110,NA,NA,NA,HP,5-Nov-22,116.1666667,16.94009052,14.58257433,
ACR-421,SEPTEMBER,1,116,147,129,141,182,162,162,163,NA,PH,10-Nov-22,150.25,21.27204739,14.15776864,
ACR-420,SEPTEMBER,1,160,123,130,134,157,173,139,162,,PH,22-Nov-22,147.25,17.99801576,12.22276113,
ACR-418,SEPTEMBER,2,214,236,252,228,246,258,NA,NA,NA,PH,7-Nov-22,119.5,8.167006796,6.83431531,
ACR-417,SEPTEMBER,4,131,139,179,272,258,294,301,168,NA,PH,9-Nov-22,54.4375,17.68057348,32.4786654,
ACR-416,SEPTEMBER,4,72,108,144,95,109,126,NA,NA,NA,HP,5-Nov-22,27.25,6.204836823,22.77004339,
ACR-415,SEPTEMBER,2,149,123,143,144,144,163,,,,HM,13-Dec-22,72.16666667,6.431692364,8.912275793,
ACR-414,SEPTEMBER,1,123,129,117,110,176,136,151,144,NA,PH,7-Nov-22,135.75,21.19130549,15.61053812,
