colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,1.631684952,0.520167577,SEPTEMBER
ACR-415,2.578063375,0.67291024,SEPTEMBER
ACR-416,2.342767753,0.607134395,SEPTEMBER
ACR-417,1.845583415,0.540998014,SEPTEMBER
ACR-418,1.740173092,0.496545884,SEPTEMBER
ACR-420,1.682455506,0.528272965,SEPTEMBER
ACR-421,2.685125278,0.723731614,SEPTEMBER
ACR-422,1.914362785,0.549662185,SEPTEMBER
ACR-423,2.735983814,0.70883631,SEPTEMBER
ACR-424,2.052053159,0.514937886,SEPTEMBER
ACR-425,3.952350293,1.092904538,SEPTEMBER
ACR-426,2.584068443,0.628666456,SEPTEMBER
ACR-427,1.389339247,0.371345849,SEPTEMBER
ACR-428,2.708773751,0.73403259,SEPTEMBER
ACR-429,2.912545516,0.745260633,SEPTEMBER
ACR-430,2.310601892,0.60525741,SEPTEMBER
ACR-431,2.11136573,0.531087653,SEPTEMBER
ACR-432,4.045356599,1.14081007,SEPTEMBER
ACR-433,1.621641828,0.48583732,SEPTEMBER
ACR-434,2.142582861,0.582329992,SEPTEMBER
ACR-435,1.053774165,0.257585358,SEPTEMBER
ACR-436,2.613970718,0.655854481,SEPTEMBER
ACR-437,1.897926207,0.502017706,SEPTEMBER
ACR-438,3.012898529,0.902696248,SEPTEMBER
ACR-439,1.94781318,0.58871489,SEPTEMBER
ACR-446,1.748618473,0.482211854,SEPTEMBER
ACR-447,2.049389867,0.532110564,SEPTEMBER
ACR-448,2.576531465,0.628459947,SEPTEMBER
ACR-449,4.234200304,1.264293978,SEPTEMBER
ACR-451,3.08900553,0.891826522,SEPTEMBER
ACR-456,2.503231024,0.631560188,SEPTEMBER
ACR-457,1.92649602,0.620671686,SEPTEMBER
ACR-458,3.001364492,0.787844689,SEPTEMBER
ACR-459,2.154782646,0.571443719,SEPTEMBER
ACR-460,3.007348017,0.754092921,SEPTEMBER
ACR-461,2.122255472,0.606522616,SEPTEMBER
ACR-462,1.955769896,0.494490427,SEPTEMBER
ACR-463,1.471140006,0.391118895,SEPTEMBER
ACR-464,3.194849129,0.748195747,SEPTEMBER
ACR-465,1.622466259,0.443402007,SEPTEMBER
