colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,13914.45990658925,491.3159007241534,SEPTEMBER
ACR-415,18101.771916014382,643.5964694695153,SEPTEMBER
ACR-416,9364.047159976428,434.38117415502325,SEPTEMBER
ACR-417,18118.283487058372,623.2144219044203,SEPTEMBER
ACR-418,10394.856223570128,414.26821723064967,SEPTEMBER
ACR-420,10920.934858474175,505.29753764580494,SEPTEMBER
ACR-421,25886.263190717906,729.7236880077933,SEPTEMBER
ACR-422,15493.948058397853,618.1690224687864,SEPTEMBER
ACR-423,10659.64564404544,450.82524896979305,SEPTEMBER
ACR-424,26648.037811083464,895.1861205261156,SEPTEMBER
ACR-425,8725.273788726683,468.92829370571724,SEPTEMBER
ACR-426,10789.758186070958,581.6213534812563,SEPTEMBER
ACR-427,9778.210675453669,368.44067038972713,SEPTEMBER
ACR-428,10535.95841610919,526.1045471047528,SEPTEMBER
ACR-429,16845.115722059767,629.4389055826205,SEPTEMBER
ACR-430,19479.346855727068,535.2560919712763,SEPTEMBER
ACR-431,8238.167788308157,318.4271610923837,SEPTEMBER
ACR-432,10456.153954737874,471.64476735433345,SEPTEMBER
ACR-433,12429.084235551256,404.66504573225484,SEPTEMBER
ACR-434,18403.5280296071,559.1506674872187,SEPTEMBER
