colony_id,surface.area.cm2,timepoint
ACR-414,28.32080111,SEPTEMBER
ACR-431,25.87143559,SEPTEMBER
ACR-418,25.09209201,SEPTEMBER
ACR-462,28.5991381,SEPTEMBER
ACR-421,35.47406178,SEPTEMBER
ACR-464,39.42644705,SEPTEMBER
ACR-456,38.48010128,SEPTEMBER
ACR-430,36.39257385,SEPTEMBER
ACR-432,22.16955361,SEPTEMBER
ACR-434,32.91336146,SEPTEMBER
ACR-451,39.12027636,SEPTEMBER
ACR-420,21.61287963,SEPTEMBER
ACR-459,26.09410518,SEPTEMBER
ACR-465,22.08605251,SEPTEMBER
ACR-461,19.2470152,SEPTEMBER
ACR-424,29.76815346,SEPTEMBER
ACR-446,31.7443461,SEPTEMBER
ACR-427,26.53944437,SEPTEMBER
ACR-463,26.03843778,SEPTEMBER
ACR-458,28.37646851,SEPTEMBER
ACR-417,29.07231099,SEPTEMBER
ACR-448,41.0408016,SEPTEMBER
ACR-460,30.93716883,SEPTEMBER
ACR-429,26.76211396,SEPTEMBER
ACR-425,18.60684012,SEPTEMBER
ACR-437,20.88920345,SEPTEMBER
ACR-439,34.8895541,SEPTEMBER
ACR-447,31.7721798,SEPTEMBER
ACR-426,18.55117272,SEPTEMBER
ACR-428,20.02635878,SEPTEMBER
ACR-416,21.55721223,SEPTEMBER
ACR-435,32.91336146,SEPTEMBER
ACR-457,29.76815346,SEPTEMBER
ACR-449,26.14977258,SEPTEMBER
ACR-436,24.31274844,SEPTEMBER
ACR-415,28.12596522,SEPTEMBER
ACR-423,23.64473966,SEPTEMBER
ACR-433,30.71449923,SEPTEMBER
ACR-422,25.06425831,SEPTEMBER
ACR-438,40.84596571,SEPTEMBER
