colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,599162.0764572362,SEPTEMBER
ACR-415,Acropora,449021.6270937516,SEPTEMBER
ACR-416,Acropora,158009.76321324642,SEPTEMBER
ACR-417,Acropora,421309.3862477288,SEPTEMBER
ACR-418,Acropora,595307.0789811758,SEPTEMBER
ACR-420,Acropora,851633.3924541457,SEPTEMBER
ACR-421,Acropora,1101227.151327355,SEPTEMBER
ACR-422,Acropora,811081.9165375362,SEPTEMBER
ACR-423,Acropora,1043572.4966658398,SEPTEMBER
ACR-424,Acropora,330330.64501453063,SEPTEMBER
ACR-425,Acropora,582447.0963423315,SEPTEMBER
ACR-426,Acropora,229769.8406637443,SEPTEMBER
ACR-427,Acropora,589335.0584867577,SEPTEMBER
ACR-428,Acropora,487898.64601303893,SEPTEMBER
ACR-429,Acropora,1271853.9369077554,SEPTEMBER
ACR-430,Acropora,595932.0186967211,SEPTEMBER
ACR-431,Acropora,1000137.7739548932,SEPTEMBER
ACR-432,Acropora,1414289.4899121367,SEPTEMBER
ACR-433,Acropora,638135.0987762791,SEPTEMBER
ACR-434,Acropora,733744.5623519733,SEPTEMBER
ACR-435,Acropora,512456.519737886,SEPTEMBER
ACR-436,Acropora,1051403.1378675343,SEPTEMBER
ACR-437,Acropora,917539.3744689036,SEPTEMBER
ACR-438,Acropora,1341625.7651752308,SEPTEMBER
ACR-439,Acropora,1038515.230933643,SEPTEMBER
ACR-446,Acropora,758402.7695564975,SEPTEMBER
ACR-447,Acropora,417621.6452105058,SEPTEMBER
ACR-448,Acropora,1040631.0712345671,SEPTEMBER
ACR-449,Acropora,NA,SEPTEMBER
ACR-451,Acropora,378400.3176198421,SEPTEMBER
ACR-456,Acropora,1182429.3202587953,SEPTEMBER
ACR-457,Acropora,837024.2615198701,SEPTEMBER
ACR-458,Acropora,692768.845651306,SEPTEMBER
ACR-459,Acropora,252930.6889227462,SEPTEMBER
ACR-460,Acropora,1128092.8837339897,SEPTEMBER
ACR-461,Acropora,749304.4947561532,SEPTEMBER
ACR-462,Acropora,893733.2275758338,SEPTEMBER
ACR-463,Acropora,416131.5958436377,SEPTEMBER
ACR-464,Acropora,1421507.7490732204,SEPTEMBER
ACR-465,Acropora,368445.19844891015,SEPTEMBER
