timepoint,colony_id,chla.ug.cm2,chlc2.ug.cm2,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,cells.cm2,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,code,holobiont_mgprot,host_mgprot,host_mgafdw,sym_mgafdw,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2
APRIL,NA,1.7973792960982415,0.34300802862470203,585.5131112167431,778.1628645269772,15.01694934043648,676449.9206326035,2.28133984674359,0.7617725382051282,49.21579267051282,29.338525039102564,NA,12.478094556830714,9.072931531614486,34.97416666424638,12.064846154937861,10619777.676027676,7034923.260252629,20.245642906702656,4.6406271765560625,0.7781628645269771,0.5855131112167431,2.8163767226136537e-6,5.374107261382565e-7,2.1403873247229437
AUGUST,NA,2.1415120462,0.85499314715,429.36621942072793,706.8086360544776,22.394630622751354,1427491.8326551854,1.856512531275,0.79363332085,191.525442771,135.960469094625,NA,16.74343207625541,10.07060776967754,43.70250000060988,18.751750000350096,33805166.666666664,2072963.068475762,3.137692745644881,1.2165430811065938,0.7068086360544775,0.42936621942072795,1.5520148777078502e-6,6.237636484940422e-7,2.99650519335
FEBRUARY,NA,2.3362043152777776,0.7930274732777778,730.9115193527778,1065.47256865,21.359121586944443,991703.2455388888,1.7691368361944444,0.8955709275555556,42.219264708611114,27.04959545211111,NA,22.788683597837416,15.7083301058848,37.5826388895446,19.5219999985386,21101903.935352895,943268.732635998,2.199104148736293,0.7280753006841838,1.06547256865,0.7309115193527778,2.4114270136004235e-6,8.212864352062124e-7,3.1292317885555554
JANUARY,NA,2.7488151932162164,0.7784035548108108,841.913821175,1450.3094822135135,23.674932508108107,732263.4323324325,1.7186231345675675,0.9834675060810811,42.83845585108108,28.11672853381081,NA,38.201615723281044,22.181149924981696,41.60266891882999,23.87643243124764,17150444.819464494,665740.3123665596,2.4883776119586973,0.7271281698699884,1.4503094822135134,0.841913821175,3.8820796441749995e-6,1.0941067126173223e-6,3.527218748027027
JULY,NA,2.239947297353944,0.466784737206008,447.95372626572237,705.4056270961804,20.50838054253623,1229512.3668325,1.2793102561,0.649052335525,148.8056425315,100.98613257375,NA,15.36259478706543,9.460335007261179,26.890937499562906,13.965749999346762,26026000.000014823,1775040.9158977002,3.236722976496305,0.6567396964971394,0.7054056270961804,0.44795372626572233,1.866023802206753e-6,3.7585079078064116e-7,2.7067320345599524
JUNE,NA,3.189372322743867,1.1801723352411033,481.16967774171354,838.6779646083568,18.438582317869532,750305.4935889086,1.0524802422,0.490595522925,39.2727552035,15.421723024925,NA,23.039079263693615,8.862465119700332,20.87312500051698,9.741750000576365,12993471.726476954,771350.2949795445,4.655153563894551,1.5390340013503763,0.8386779646083568,0.48116967774171354,4.804668992824943e-6,1.743149991792172e-6,4.36954465798497
MARCH,NA,2.0156772008790687,0.5754199605790109,675.3774202134895,1006.4666127213583,18.3001734567,933364.4924257282,1.823336629125,0.3110877461,52.282672155,32.372856104075,NA,18.081337106519108,12.10346906826987,31.90787499883236,-2.29860000029344,16763976.190041464,941818.0386313138,2.0325646679496234,0.5753267668661753,1.0064666127213584,0.6753774202134895,2.24672131812505e-6,6.439713220772601e-7,2.5910971614580793
MAY,NA,1.65468501965568,0.8618174561549151,194.39105365185245,646.4202221606649,17.608518952890357,514323.29463868134,0.9197801512710642,0.4969689359550787,52.53996785173254,25.940705356667248,NA,14.213481295407938,3.4888826744934067,17.65031250000001,8.666499999999933,8929860.11906367,933176.488496845,3.4443226619758356,1.825260254725494,0.646420222160665,0.19439105365185244,3.4013111970983755e-6,1.7388182998949127e-6,2.516502475810595
OCTOBER,NA,2.23236201035,0.532132776825,453.74583040514347,826.260724522652,28.719255758,746551.9278037916,1.4900450288270286,0.7729339671558335,145.02077978470263,102.93278719653493,NA,24.29933407602597,13.09027636146024,42.949999999999996,22.54674999999996,21500967.26190476,945719.1802617079,2.8609249603272615,0.6849151498850076,0.826260724522652,0.4537458304051435,3.078985554580106e-6,7.339687827166374e-7,2.764494787175
SEPTEMBER,NA,2.3542677672,0.6383961006,634.4750898543703,917.7035730651801,28.47527813975,741247.5935226252,1.5724597596721073,0.771101147185035,146.08322726640543,102.35591815543594,NA,26.791005703828723,18.392989752846074,45.107499999999966,22.598250000000007,21821020.833333332,837075.224403599,2.630598593820477,0.7158619299635569,0.9177035730651801,0.6344750898543703,4.117094294093969e-6,1.1141307132300116e-6,2.9926638678
