colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,cells.cm2,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,code,holobiont_mgprot,host_mgprot,host_mgafdw,sym_mgafdw,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2
ACR-414,1.3701028184943136,0.2405199595404647,APRIL,389.41444391036816,6.745177112448495,11.440838445414132,321217.7164754094,1.540533946,0.479859936,29.29221504,14.88964299,ACR-414 - APRIL,0.07717048162922822,4.455227741089304,17.62499999586234,5.490000004202765,3675000,47621835.73839584,203.12332732757065,35.65806435187231,0.006745177112448495,0.38941444391036817,4.265340136054422e-6,7.487755102040816e-7,1.6106227780347784
ACR-415,2.210762588691184,0.32380891921694144,APRIL,601.0453709660699,832.9105780898108,21.402861652976377,613235.7538355055,3.031428743,0.937024232,63.12894144,39.85261475,ACR-415 - APRIL,17.826669872156796,12.864090921948659,64.88124999728508,20.05500000298244,13125000,736256.4121131641,2.6542616300555655,0.38876792747615446,0.8329105780898107,0.6010453709660699,3.6050777777777776e-6,5.280333333333334e-7,2.5345715079081255
ACR-416,1.8060125092993164,0.32112081399150777,APRIL,583.7167513923952,795.0488808472512,14.97574990616202,511437.93897861335,1.345508581,0.743067965,45.25282568,31.18895567,ACR-416 - APRIL,11.90645320274244,8.741596084889862,20.150000005650945,11.128000007120754,7659166.666666666,643278.6100316182,2.271574179658894,0.40390071821659873,0.7950488808472512,0.5837167513923952,3.531244695898162e-6,6.278783592644972e-7,2.127133323290824
ACR-417,2.137387785501333,0.34112901697268394,APRIL,697.8467070486824,1086.9810650609172,18.1893057795692,757588.0117139011,2.985270612,0.83257713,46.49545234,27.33672225,ACR-417 - APRIL,19.771430968994824,12.693347141773932,54.299999996429676,15.144000002646136,13780000,696965.2334021513,1.9663523627079451,0.3138316093423083,1.0869810650609173,0.6978467070486825,2.821306240928883e-6,4.502830188679245e-7,2.478516802474017
ACR-418,1.2284253482940826,0.26009872272670265,APRIL,545.2181473447918,748.1847612178858,12.404905207436286,412471.2427144878,1.958902514,0.464332448,44.27039069,23.84056912,ACR-418 - APRIL,9.281161040556226,6.763379435186172,24.299999996778634,5.760000002176839,5116666.666666666,551295.9687164335,1.641874322987369,0.34763969571275044,0.7481847612178858,0.5452181473447918,2.9782084690553746e-6,6.305863192182412e-7,1.4885240710207852
ACR-420,1.214028767102528,0.5285744588134716,APRIL,468.7762994049724,705.5319277470766,9.191349334029107,557589.5131116087,0.157077046,0.323129923,30.55196139,17.41637644,ACR-420 - APRIL,6.484790414234364,4.308686727344522,1.4437500021433594,2.9700000025709268,5124999.999999999,790310.8154043694,1.7207283176810966,0.7491857391930224,0.7055319277470765,0.4687762994049724,2.177280487804878e-6,9.479634146341462e-7,1.7426032259159996
ACR-421,1.3777536958500394,0.1484781204599724,APRIL,457.3059515890418,252.91626000183518,8.869993746688388,699737.4343114869,1.770012522,0.546561828,44.90194823,23.03293619,ACR-421 - APRIL,2.243365644652093,4.056300930918184,15.700000001700143,4.847999996538574,6206666.666666666,2766676.3469711654,5.447469829895643,0.5870643526790055,0.2529162600018352,0.4573059515890418,1.968958109559613e-6,2.1219119226638035e-7,1.5262318163100117
ACR-422,2.0791902448792396,0.3612168140155503,APRIL,619.1455672275149,962.2529636139384,17.546594604887765,720700.1482675574,1.665209156,0.80927384,48.15891739,26.52736958,ACR-422 - APRIL,16.884262659885593,10.86389626955449,29.21874999267931,14.199999994820805,12645833.333333336,748971.6067600563,2.160752238237245,0.3753865435331334,0.9622529636139384,0.6191455672275149,2.88495881383855e-6,5.012026359143328e-7,2.44040705889479
ACR-423,1.7141235939487514,0.33965843505874826,APRIL,615.0715192323169,871.0777381132921,17.867950192228506,786324.1081851076,10.8294459,0.750505786,64.18545427,35.19094206,ACR-423 - APRIL,15.564373638167368,10.990067270301354,193.4999999506332,13.410000003227305,14050000.000000002,902702.564627864,1.967819310434281,0.38992895834352326,0.871077738113292,0.6150715192323168,2.1799199288256233e-6,4.3195729537366503e-7,2.0537820290074995
ACR-424,1.719707743325448,0.31734231742598784,APRIL,593.9349998716007,757.4495863209324,14.011683144139875,561436.2375841159,1.848457443,0.572379486,40.53795637,23.05504604,ACR-424 - APRIL,10.613143601188732,8.322029026415626,25.899999996742995,8.019999996037646,7866666.666666667,741219.2807591482,2.2703923460812416,0.4189616354104515,0.7574495863209324,0.5939349998716007,3.063050847457627e-6,5.652330508474576e-7,2.0370500607514357
ACR-425,1.4309995693670603,0.2696609535618871,APRIL,542.5699230730781,844.5631615142165,14.975749906162035,396641.23915129504,1.500258761,0.822663311,44.4919289,23.28297429,ACR-425 - APRIL,12.64796668679444,8.125391474547992,22.467499999264522,12.320000002511199,5940000,469640.7056639285,1.6943665489759492,0.3192904519756843,0.8445631615142165,0.5425699230730782,3.607793209876543e-6,6.798611111111103e-7,1.7006605229289473
