"","replicate_id","colony_id","timepoint","gonad.type","geometric.mean","Stage","count"
"1","Rep4","ACR-422","April","oocyte",65.53933727,"Stage I",4
"2","Rep6","ACR-426","April","oocyte",62.91403442,"Stage I",9
"3","Rep6","ACR-426","April","oocyte",64.45493458,"Stage I",9
"4","Rep6","ACR-426","April","oocyte",60.56953529,"Stage I",9
"5","Rep6","ACR-426","April","oocyte",67.56305796,"Stage I",9
"6","Rep6","ACR-426","April","oocyte",68.8290803,"Stage I",9
"7","Rep1","ACR-451","February","oocyte",35.32699132,"Stage I",4
"8","Rep1","ACR-451","February","oocyte",35.34369867,"Stage I",4
"9","Rep1","ACR-451","February","oocyte",37.44107434,"Stage I",4
"10","Rep1","ACR-451","February","oocyte",42.64494355,"Stage I",4
"11","Rep4","ACR-427","February","oocyte",31.7229454,"Stage I",7
"12","Rep4","ACR-427","February","oocyte",33.14458218,"Stage I",7
"13","Rep4","ACR-427","February","oocyte",33.62764644,"Stage I",7
"14","Rep4","ACR-427","February","oocyte",34.13764889,"Stage I",7
"15","Rep4","ACR-427","February","oocyte",34.95212543,"Stage I",7
"16","Rep4","ACR-427","February","oocyte",38.78893231,"Stage I",7
"17","Rep4","ACR-427","February","oocyte",39.98566323,"Stage I",7
"18","Rep5","ACR-433","February","oocyte",29.93603633,"Stage I",3
"19","Rep5","ACR-433","February","oocyte",40.43158221,"Stage I",3
"20","Rep5","ACR-433","February","oocyte",26.21095076,"Stage I",3
"21","Rep6","ACR-460","February","oocyte",46.2111072,"Stage I",2
"22","Rep6","ACR-460","February","oocyte",38.90244035,"Stage I",2
"23","Rep7","ACR-439","February","oocyte",45.25210621,"Stage I",1
"24","Rep2","ACR-437","January","oocyte",41.45309452,"Stage I",3
"25","Rep2","ACR-437","January","oocyte",43.70671148,"Stage I",3
"26","Rep2","ACR-437","January","oocyte",43.98218569,"Stage I",3
"27","Rep3","ACR-418","January","oocyte",32.26858753,"Stage I",3
"28","Rep3","ACR-418","January","oocyte",33.17809482,"Stage I",3
"29","Rep3","ACR-418","January","oocyte",39.71829359,"Stage I",3
"30","Rep5","ACR-416","January","oocyte",32.53930934,"Stage I",2
"31","Rep5","ACR-416","January","oocyte",33.54311175,"Stage I",2
"32","Rep6","ACR-457","July","oocyte",52.22314889,"Stage I",11
"33","Rep1","ACR-446","June","oocyte",64.02877234,"Stage I",16
"34","Rep1","ACR-446","June","oocyte",63.54686896,"Stage I",16
"35","Rep4","ACR-431","June","oocyte",69.25031967,"Stage I",5
"36","Rep1","ACR-427","March","oocyte",52.65707399,"Stage I",17
"37","Rep1","ACR-427","March","oocyte",59.04671125,"Stage I",17
"38","Rep1","ACR-427","March","oocyte",63.76621599,"Stage I",17
"39","Rep1","ACR-427","March","oocyte",69.07444135,"Stage I",17
"40","Rep2","ACR-421","March","oocyte",49.14601331,"Stage I",3
"41","Rep2","ACR-421","March","oocyte",54.04199996,"Stage I",3
"42","Rep2","ACR-421","March","oocyte",55.05692038,"Stage I",3
"43","Rep4","ACR-430","March","oocyte",46.24578381,"Stage I",5
"44","Rep4","ACR-430","March","oocyte",59.92090546,"Stage I",5
"45","Rep4","ACR-430","March","oocyte",62.06273246,"Stage I",5
"46","Rep4","ACR-430","March","oocyte",51.55829646,"Stage I",5
"47","Rep4","ACR-430","March","oocyte",40.11642865,"Stage I",5
"48","Rep5","ACR-434","March","oocyte",52.22508037,"Stage I",3
"49","Rep5","ACR-434","March","oocyte",45.45689558,"Stage I",3
"50","Rep6","ACR-458","March","oocyte",58.73204263,"Stage I",2
"51","Rep6","ACR-458","March","oocyte",50.2856872,"Stage I",2
"52","Rep1","ACR-418","May","oocyte",42.69578897,"Stage I",7
"53","Rep4","ACR-425","May","oocyte",41.95156564,"Stage I",4
"54","Rep4","ACR-425","May","oocyte",64.18436564,"Stage I",4
"55","Rep1","ACR-414","April","oocyte",72.58711306,"Stage II",5
"56","Rep1","ACR-414","April","oocyte",74.91413909,"Stage II",5
"57","Rep1","ACR-414","April","oocyte",75.98706597,"Stage II",5
"58","Rep1","ACR-414","April","oocyte",87.4985816,"Stage II",5
"59","Rep1","ACR-414","April","oocyte",90.48821422,"Stage II",5
"60","Rep2","ACR-425","April","oocyte",79.00112294,"Stage II",21
"61","Rep2","ACR-425","April","oocyte",80.82683668,"Stage II",21
"62","Rep2","ACR-425","April","oocyte",81.71384254,"Stage II",21
"63","Rep2","ACR-425","April","oocyte",82.53635839,"Stage II",21
"64","Rep2","ACR-425","April","oocyte",83.84448497,"Stage II",21
"65","Rep2","ACR-425","April","oocyte",84.29332235,"Stage II",21
"66","Rep2","ACR-425","April","oocyte",86.1909463,"Stage II",21
"67","Rep2","ACR-425","April","oocyte",86.40933132,"Stage II",21
