"","timepoint","Stage","freq"
"1","April","Stage 0",1
"2","August","Stage 0",0.142857142857143
"3","August","Stage II",0.0357142857142857
"4","August","Stage II",0.0714285714285714
"5","August","Stage III",0.214285714285714
"6","August","Stage III",0.142857142857143
"7","August","Stage III",0.392857142857143
"8","December","Stage 0",1
"9","February","Stage 0",1
"10","January","Stage 0",1
"11","July","Stage I",0.0930232558139535
"12","July","Stage I",0.0697674418604651
"13","July","Stage II",0.116279069767442
"14","July","Stage II",0.0232558139534884
"15","July","Stage II",0.0465116279069767
"16","July","Stage II",0.0697674418604651
"17","July","Stage II",0.162790697674419
"18","July","Stage III",0.0697674418604651
"19","July","Stage III",0.13953488372093
"20","July","Stage IV",0.13953488372093
"21","June","Stage 0",0.0416666666666666
"22","June","Stage I",0.208333333333333
"23","June","Stage I",0.583333333333333
"24","June","Stage I",0.166666666666667
"25","March","Stage 0",1
"26","May","Stage 0",1
"27","October","Stage 0",0.0303030303030303
"28","October","Stage III",0.0303030303030303
"29","October","Stage IV",0.121212121212121
"30","October","Stage IV",0.0909090909090909
"31","October","Stage V",0.181818181818182
"32","October","Stage V",0.212121212121212
"33","October","Stage V",0.121212121212121
"34","September","Stage 0",0.0190476190476191
"35","September","Stage III",0.228571428571429
"36","September","Stage III",0.0285714285714286
"37","September","Stage III",0.0952380952380952
"38","September","Stage IV",0.0761904761904762
"39","September","Stage IV",0.152380952380952
"40","September","Stage IV",0.285714285714286
"41","September","Stage V",0.0285714285714286
"42","September","Stage V",0.00952380952380952
