"","replicate_id","colony_id","timepoint","gonad.type","geometric.mean","Stage","count"
"1","Rep4","ACR-430","September","spermatocyte",104.4063218,"Stage V",43
"2","Rep2","ACR-417","October","spermatocyte",98.71257539,"Stage V",6
"3","Rep1","ACR-459","October","spermatocyte",96.48451151,"Stage V",8
"4","Rep2","ACR-417","October","spermatocyte",91.82783754,"Stage V",6
"5","Rep1","ACR-459","October","spermatocyte",91.53800711,"Stage V",8
"6","Rep2","ACR-417","October","spermatocyte",88.01383553,"Stage V",6
"7","Rep1","ACR-459","October","spermatocyte",86.45755187,"Stage V",8
"8","Rep4","ACR-430","September","spermatocyte",85.28396331,"Stage V",43
"9","Rep4","ACR-424","October","spermatocyte",85.25423009,"Stage V",11
"10","Rep4","ACR-424","October","spermatocyte",85.18600514,"Stage V",11
"11","Rep5","ACR-426","October","spermatocyte",85.01873506,"Stage V",7
"12","Rep2","ACR-417","October","spermatocyte",84.10418225,"Stage V",6
"13","Rep2","ACR-417","October","spermatocyte",84.0559907,"Stage V",6
"14","Rep2","ACR-458","September","spermatocyte",83.90938492,"Stage V",34
"15","Rep4","ACR-424","October","spermatocyte",83.69727365,"Stage V",11
"16","Rep4","ACR-424","October","spermatocyte",83.32835778,"Stage V",11
"17","Rep1","ACR-459","October","spermatocyte",83.15790041,"Stage V",8
"18","Rep2","ACR-417","October","spermatocyte",83.04167886,"Stage V",6
"19","Rep4","ACR-424","October","spermatocyte",82.68671812,"Stage V",11
"20","Rep4","ACR-424","October","spermatocyte",81.92134282,"Stage V",11
"21","Rep4","ACR-424","October","spermatocyte",81.8682188,"Stage V",11
"22","Rep5","ACR-426","October","spermatocyte",80.77162036,"Stage V",7
"23","Rep5","ACR-426","October","spermatocyte",80.42216744,"Stage V",7
"24","Rep5","ACR-426","October","spermatocyte",80.11377937,"Stage V",7
"25","Rep4","ACR-430","September","spermatocyte",79.89041125,"Stage V",43
"26","Rep4","ACR-424","October","spermatocyte",78.75850312,"Stage IV",11
"27","Rep2","ACR-458","September","spermatocyte",77.99744599,"Stage IV",34
"28","Rep1","ACR-420","September","spermatocyte",77.91553083,"Stage IV",8
"29","Rep4","ACR-430","September","spermatocyte",77.83236498,"Stage IV",43
"30","Rep4","ACR-430","September","spermatocyte",77.43025781,"Stage IV",43
"31","Rep4","ACR-424","October","spermatocyte",76.62642693,"Stage IV",11
"32","Rep1","ACR-459","October","spermatocyte",76.5438254,"Stage IV",8
"33","Rep4","ACR-430","September","spermatocyte",76.4656435,"Stage IV",43
"34","Rep2","ACR-458","September","spermatocyte",75.58684732,"Stage IV",34
"35","Rep1","ACR-420","September","spermatocyte",75.49286452,"Stage IV",8
"36","Rep5","ACR-426","October","spermatocyte",75.41745008,"Stage IV",7
"37","Rep4","ACR-424","October","spermatocyte",74.73868346,"Stage IV",11
"38","Rep4","ACR-430","September","spermatocyte",74.33501377,"Stage IV",43
"39","Rep2","ACR-458","September","spermatocyte",74.32960726,"Stage IV",34
"40","Rep1","ACR-420","September","spermatocyte",73.67362094,"Stage IV",8
"41","Rep1","ACR-420","September","spermatocyte",73.67050058,"Stage IV",8
"42","Rep1","ACR-459","October","spermatocyte",73.64441213,"Stage IV",8
"43","Rep2","ACR-458","September","spermatocyte",73.2012248,"Stage IV",34
"44","Rep2","ACR-458","September","spermatocyte",73.03846233,"Stage IV",34
"45","Rep2","ACR-458","September","spermatocyte",72.88409984,"Stage IV",34
"46","Rep2","ACR-458","September","spermatocyte",72.67816595,"Stage IV",34
"47","Rep2","ACR-458","September","spermatocyte",72.61084613,"Stage IV",34
"48","Rep2","ACR-458","September","spermatocyte",72.52463431,"Stage IV",34
"49","Rep4","ACR-430","September","spermatocyte",72.47051089,"Stage IV",43
"50","Rep2","ACR-458","September","spermatocyte",71.83035793,"Stage IV",34
"51","Rep2","ACR-449","July","spermatocyte",70.99091271,"Stage IV",14
"52","Rep4","ACR-430","September","spermatocyte",70.64004782,"Stage IV",43
"53","Rep5","ACR-426","October","spermatocyte",70.59617793,"Stage IV",7
"54","Rep2","ACR-458","September","spermatocyte",69.66581275,"Stage IV",34
"55","Rep2","ACR-458","September","spermatocyte",69.66539192,"Stage IV",34
"56","Rep2","ACR-458","September","spermatocyte",69.55338505,"Stage IV",34
"57","Rep5","ACR-426","October","spermatocyte",69.49471298,"Stage IV",7
"58","Rep4","ACR-430","September","spermatocyte",69.48550767,"Stage IV",43
"59","Rep4","ACR-424","October","spermatocyte",69.3338374,"Stage IV",11
"60","Rep1","ACR-420","September","spermatocyte",69.20623764,"Stage IV",8
"61","Rep2","ACR-458","September","spermatocyte",67.6720832,"Stage IV",34
"62","Rep4","ACR-430","September","spermatocyte",67.45466744,"Stage IV",43
"63","Rep1","ACR-420","September","spermatocyte",67.1643275,"Stage IV",8
"64","Rep2","ACR-458","September","spermatocyte",66.00083934,"Stage IV",34
"65","Rep2","ACR-458","September","spermatocyte",65.83636345,"Stage IV",34
"66","Rep2","ACR-458","September","spermatocyte",65.5243568,"Stage IV",34
"67","Rep1","ACR-420","September","spermatocyte",65.41883747,"Stage IV",8
"68","Rep2","ACR-449","July","spermatocyte",65.01120563,"Stage IV",14
"69","Rep2","ACR-458","September","spermatocyte",64.73168881,"Stage IV",34
"70","Rep2","ACR-458","September","spermatocyte",64.72632379,"Stage IV",34
"71","Rep2","ACR-458","September","spermatocyte",64.35003692,"Stage IV",34
"72","Rep1","ACR-459","October","spermatocyte",64.19651967,"Stage IV",8
"73","Rep2","ACR-449","July","spermatocyte",63.83846605,"Stage IV",14
"74","Rep4","ACR-430","September","spermatocyte",63.51642273,"Stage III",43
"75","Rep6","ACR-461","September","spermatocyte",63.11023356,"Stage IV",18
"76","Rep4","ACR-430","September","spermatocyte",61.64596467,"Stage III",43
"77","Rep2","ACR-458","September","spermatocyte",61.56332623,"Stage IV",34
"78","Rep2","ACR-458","September","spermatocyte",60.68268265,"Stage IV",34
"79","Rep2","ACR-449","July","spermatocyte",60.50474652,"Stage IV",14
"80","Rep2","ACR-449","July","spermatocyte",60.34455029,"Stage IV",14
"81","Rep2","ACR-458","September","spermatocyte",60.24518735,"Stage IV",34
"82","Rep6","ACR-461","September","spermatocyte",59.88953631,"Stage IV",18
"83","Rep2","ACR-458","September","spermatocyte",59.45516819,"Stage IV",34
"84","Rep2","ACR-458","September","spermatocyte",59.08773345,"Stage IV",34
"85","Rep2","ACR-458","September","spermatocyte",59.01385837,"Stage IV",34
"86","Rep6","ACR-461","September","spermatocyte",58.83957287,"Stage IV",18
"87","Rep1","ACR-420","September","spermatocyte",58.70649709,"Stage IV",8
"88","Rep4","ACR-430","September","spermatocyte",58.28007337,"Stage III",43
"89","Rep4","ACR-430","September","spermatocyte",57.43069734,"Stage IV",43
"90","Rep4","ACR-430","September","spermatocyte",57.32635985,"Stage III",43
"91","Rep2","ACR-458","September","spermatocyte",56.17556526,"Stage IV",34
"92","Rep4","ACR-430","September","spermatocyte",56.05084001,"Stage III",43
"93","Rep4","ACR-430","September","spermatocyte",55.87806001,"Stage IV",43
"94","Rep4","ACR-430","September","spermatocyte",55.08771411,"Stage IV",43
"95","Rep6","ACR-461","September","spermatocyte",55.0131415,"Stage IV",18
"96","Rep6","ACR-461","September","spermatocyte",54.52229819,"Stage IV",18
"97","Rep2","ACR-458","September","spermatocyte",54.35488055,"Stage IV",34
"98","Rep4","ACR-430","September","spermatocyte",53.95774558,"Stage IV",43
"99","Rep4","ACR-430","September","spermatocyte",53.55277071,"Stage IV",43
"100","Rep2","ACR-458","September","spermatocyte",53.5119476,"Stage IV",34
"101","Rep2","ACR-458","September","spermatocyte",53.31850289,"Stage IV",34
"102","Rep4","ACR-430","September","spermatocyte",53.03322539,"Stage IV",43
"103","Rep6","ACR-461","September","spermatocyte",52.66197015,"Stage IV",18
"104","Rep2","ACR-449","July","spermatocyte",52.37403351,"Stage IV",14
"105","Rep6","ACR-461","September","spermatocyte",52.19439625,"Stage IV",18
"106","Rep4","ACR-430","September","spermatocyte",52.09928207,"Stage IV",43
"107","Rep4","ACR-430","September","spermatocyte",51.94075377,"Stage III",43
"108","Rep6","ACR-461","September","spermatocyte",51.63869512,"Stage IV",18
"109","Rep2","ACR-458","September","spermatocyte",50.14839084,"Stage III",34
"110","Rep2","ACR-458","September","spermatocyte",49.99338035,"Stage III",34
"111","Rep4","ACR-430","September","spermatocyte",49.75622524,"Stage IV",43
"112","Rep4","ACR-430","September","spermatocyte",49.428342,"Stage III",43
"113","Rep4","ACR-430","September","spermatocyte",49.26825769,"Stage III",43
"114","Rep4","ACR-430","September","spermatocyte",48.7795903,"Stage III",43
"115","Rep4","ACR-430","September","spermatocyte",48.57976433,"Stage III",43
"116","Rep4","ACR-430","September","spermatocyte",48.21451514,"Stage III",43
"117","Rep4","ACR-430","September","spermatocyte",48.19602328,"Stage III",43
"118","Rep4","ACR-430","September","spermatocyte",47.68949356,"Stage III",43
"119","Rep4","ACR-430","September","spermatocyte",47.19866926,"Stage III",43
"120","Rep6","ACR-461","September","spermatocyte",46.90444757,"Stage III",18
"121","Rep1","ACR-459","October","spermatocyte",46.3539504,"Stage III",8
"122","Rep4","ACR-448","July","spermatocyte",45.84856059,"Stage III",4
"123","Rep2","ACR-449","July","spermatocyte",45.13574703,"Stage III",14
"124","Rep6","ACR-461","September","spermatocyte",44.70362597,"Stage III",18
"125","Rep4","ACR-430","September","spermatocyte",44.42317305,"Stage III",43
"126","Rep2","ACR-449","July","spermatocyte",44.35879764,"Stage III",14
"127","Rep6","ACR-461","September","spermatocyte",44.3403507,"Stage III",18
"128","Rep6","ACR-461","September","spermatocyte",44.27707731,"Stage III",18
"129","Rep4","ACR-430","September","spermatocyte",43.79651484,"Stage III",43
"130","Rep4","ACR-430","September","spermatocyte",43.58198674,"Stage III",43
"131","Rep6","ACR-461","September","spermatocyte",42.97311902,"Stage III",18
"132","Rep4","ACR-430","September","spermatocyte",42.9273291,"Stage III",43
"133","Rep2","ACR-449","July","spermatocyte",42.70492898,"Stage III",14
"134","Rep4","ACR-430","September","spermatocyte",42.67022606,"Stage III",43
"135","Rep1","ACR-421","August","spermatocyte",42.54316613,"Stage III",7
"136","Rep3","ACR-462","August","spermatocyte",42.4466359,"Stage III",11
"137","Rep2","ACR-458","September","spermatocyte",42.35145721,"Stage III",34
"138","Rep1","ACR-421","August","spermatocyte",41.82846057,"Stage III",7
"139","Rep1","ACR-421","August","spermatocyte",41.74559752,"Stage III",7
"140","Rep6","ACR-461","September","spermatocyte",41.01757735,"Stage III",18
"141","Rep6","ACR-461","September","spermatocyte",40.97880642,"Stage III",18
"142","Rep2","ACR-438","August","spermatocyte",40.61058672,"Stage III",6
"143","Rep4","ACR-430","September","spermatocyte",40.32256658,"Stage III",43
"144","Rep4","ACR-430","September","spermatocyte",40.11387092,"Stage III",43
"145","Rep6","ACR-461","September","spermatocyte",38.91869043,"Stage III",18
"146","Rep4","ACR-430","September","spermatocyte",38.79711665,"Stage III",43
"147","Rep3","ACR-462","August","spermatocyte",38.36819491,"Stage III",11
"148","Rep6","ACR-461","September","spermatocyte",38.06407152,"Stage III",18
"149","Rep3","ACR-462","August","spermatocyte",37.82400352,"Stage III",11
"150","Rep3","ACR-462","August","spermatocyte",37.08205815,"Stage III",11
"151","Rep3","ACR-462","August","spermatocyte",36.78398347,"Stage III",11
"152","Rep4","ACR-430","September","spermatocyte",36.69267954,"Stage III",43
"153","Rep5","ACR-451","July","spermatocyte",36.68937313,"Stage III",6
"154","Rep3","ACR-462","August","spermatocyte",35.61981103,"Stage III",11
"155","Rep3","ACR-462","August","spermatocyte",35.59170718,"Stage III",11
"156","Rep5","ACR-451","July","spermatocyte",35.51253063,"Stage III",6
"157","Rep1","ACR-449","July","spermatocyte",35.34860574,"Stage III",14
"158","Rep3","ACR-462","August","spermatocyte",34.43229905,"Stage III",11
"159","Rep2","ACR-438","August","spermatocyte",33.7902636,"Stage III",6
"160","Rep4","ACR-430","September","spermatocyte",33.23890898,"Stage III",43
"161","Rep6","ACR-461","September","spermatocyte",33.18980325,"Stage III",18
"162","Rep3","ACR-462","August","spermatocyte",32.9721719,"Stage III",11
"163","Rep1","ACR-421","August","spermatocyte",32.20543864,"Stage III",7
"164","Rep2","ACR-438","August","spermatocyte",31.85663104,"Stage III",6
"165","Rep5","ACR-451","July","spermatocyte",29.57081352,"Stage III",6
"166","Rep4","ACR-448","July","spermatocyte",29.06204662,"Stage III",4
"167","Rep2","ACR-438","August","spermatocyte",29.01673365,"Stage III",6
"168","Rep3","ACR-462","August","spermatocyte",28.64742222,"Stage III",11
"169","Rep1","ACR-449","July","spermatocyte",28.58873775,"Stage III",14
"170","Rep1","ACR-421","August","spermatocyte",28.32957038,"Stage III",7
"171","Rep4","ACR-448","July","spermatocyte",26.83170242,"Stage III",4
"172","Rep1","ACR-449","July","spermatocyte",26.02482876,"Stage III",14
"173","Rep1","ACR-421","August","spermatocyte",25.75740608,"Stage III",7
"174","Rep3","ACR-462","August","spermatocyte",25.39945464,"Stage III",11
"175","Rep2","ACR-438","August","spermatocyte",25.2856078,"Stage II",6
"176","Rep4","ACR-448","July","spermatocyte",23.8280887,"Stage II",4
"177","Rep2","ACR-438","August","spermatocyte",23.72317957,"Stage II",6
