coral.ID,replicate,tag,patch,species,species.code,site,habitat.code,date,num.polyps,status,date.prepped,date.received.URI,,,,,,,,,,,,,,
ACR_414_20211210,1,414,P1,Acropora pulchra,ACR,Mahana,LAG,20211210,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_427_20220215,2,427,P1,Acropora pulchra,ACR,Mahana,LAG,20220215,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_433_20220215,5,433,P1,Acropora pulchra,ACR,Mahana,LAG,20220215,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_434_20220315,3,434,P1,Acropora pulchra,ACR,Mahana,LAG,20220315,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_427_20220515,3,427,P1,Acropora pulchra,ACR,Mahana,LAG,20220515,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_462_20220811,1,462,P1,Acropora pulchra,ACR,Mahana,LAG,20220811,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_434_20220917,3,434,P1,Acropora pulchra,ACR,Mahana,LAG,20220917,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_427_20221114,3,427,P1,Acropora pulchra,ACR,Mahana,LAG,20221114,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
HF_433_20220922,1,433,P1,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220922,~5-10,decalcified,20230814,20231106,,,,,,,,,,,,,,
HF_433_20220927,1,433,P1,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220927,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
HF_433_20221002,1,433,P1,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221002,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
HF_433_20221007,1,433,P1,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221007,~5-10,decalcified,20230814,20231106,,,,,,,,,,,,,,
HF_433_20221012,1,433,P1,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221012,~5-10,decalcified,20230814,20231015,,P1=8,,,,,,,,,,,,
HF_433_20221021,1,433,P1,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221021,~5-10,decalcified,20230814,20231015,,P2=8,,,,,,,,,,,,
ACR_416_20220126,1,416,P2,Acropora pulchra,ACR,Mahana,LAG,20220126,~5-10,decalcified,20230814,20231108,,P3=17,,,,,,,,,,,,
ACR_415_20220215,1,415,P2,Acropora pulchra,ACR,Mahana,LAG,20220215,~5-10,decalcified,20230814,20231020,,P4=15,,,,,,,,,,,,
ACR_430_20220315,2,430,P2,Acropora pulchra,ACR,Mahana,LAG,20220315,~5-10,decalcified,20230814,20231108,,P5=12,,,,,,,,,,,,
ACR_429_20220515,5,429,P2,Acropora pulchra,ACR,Mahana,LAG,20220515,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_430_20220728,1,430,P2,Acropora pulchra,ACR,Mahana,LAG,20220728,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_449_20220728,3,449,P2,Acropora pulchra,ACR,Mahana,LAG,20220728,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_430_20220917,2,430,P2,Acropora pulchra,ACR,Mahana,LAG,20220917,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_429_20221114,5,429,P2,Acropora pulchra,ACR,Mahana,LAG,20221114,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
HF_416_20220922,2,416,P2,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220922,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_416_20220927,2,416,P2,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220927,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_416_20221002,2,416,P2,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221002,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
HF_416_20221007,2,416,P2,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221007,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_416_20221012,2,416,P2,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221012,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_416_20221021,2,416,P2,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221021,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
ACR_465_20211210,2,465,P3,Acropora pulchra,ACR,Mahana,LAG,20211210,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_420_20211210,5,420,P3,Acropora pulchra,ACR,Mahana,LAG,20211210,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_418_20220126,2,418,P3,Acropora pulchra,ACR,Mahana,LAG,20220126,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_456_20220126,5,456,P3,Acropora pulchra,ACR,Mahana,LAG,20220126,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_460_20220215,3,460,P3,Acropora pulchra,ACR,Mahana,LAG,20220215,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_461_20220315,5,461,P3,Acropora pulchra,ACR,Mahana,LAG,20220315,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_417_20220414,1,417,P3,Acropora pulchra,ACR,Mahana,LAG,20220414,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_424_20220414,3,424,P3,Acropora pulchra,ACR,Mahana,LAG,20220414,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_459_20220414,5,459,P3,Acropora pulchra,ACR,Mahana,LAG,20220414,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_425_20220515,2,425,P3,Acropora pulchra,ACR,Mahana,LAG,20220515,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_436_20220616,3,436,P3,Acropora pulchra,ACR,Mahana,LAG,20220616,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_463_20220811,2,463,P3,Acropora pulchra,ACR,Mahana,LAG,20220811,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_461_20220917,5,461,P3,Acropora pulchra,ACR,Mahana,LAG,20220917,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
