Species,Site,Original.Tag.Num,Patch,Latitude.S,Longitude.W,GPS.Point.Name,Timestamp,OrderbyPatch,January.sampling,February.sampling,March.sampling,April.sampling,,,,,,
A. pulchra,Mahana,414,P1,17°29.234',149°53.264',P1,12:59 PM,P1.3,,,,,,,,,,
A. pulchra,Mahana,415,P2,17°29.232',149°53.253',P2,1:08 PM,P2.3,,,,,,,,,,
A. pulchra,Mahana,416,P2,17°29.232',149°53.253',P2,1:11 PM,P2.5,,,,,,,,,,
A. pulchra,Mahana,417,P3,17°29.223',149°53.249',P3,1:16 PM,P3.3,,,,,,,,,,
A. pulchra,Mahana,418,P3,17°29.223',149°53.249',P3,1:19 PM,P3.5,,,,,,,,,,
A. pulchra,Mahana,420,P3,17°29.223',149°53.249',P3,1:14 PM,P3.2,,,,,,,,,,
A. pulchra,Mahana,421,P4,17°29.231',149°53.242',P4,1:39 PM,P4.4,,,,,,,,,,
A. pulchra,Mahana,422,P4,17°29.231',149°53.242',P4,1:40 PM,P4.5,,,,,,,,,,
A. pulchra,Mahana,423,P4,17°29.231',149°53.242',P4,1:42 PM,P4.7,,,,,,,,,,
A. pulchra,Mahana,424,P3,17°29.223',149°53.249',P3,1:17 PM,P3.4,,,,,,,,,,
A. pulchra,Mahana,425,P3,17°29.223',149°53.249',P3,1:13 PM,P3.1,,,,,,,,,,
A. pulchra,Mahana,426,P5,17°29.220',149°53.236',P5,1:49 PM,P5.1,,,,,,,,,,
A. pulchra,Mahana,427,P1,17°29.234',149°53.264',P1,12:57 PM,P1.2,,,,,,,,,,
A. pulchra,Mahana,428,P5,17°29.220',149°53.236',P5,1:51 PM,P5.3,,,,,,,,,,
A. pulchra,Mahana,429,P2,17°29.232',149°53.253',P2,1:05 PM,P2.1,,,,,,,,,,
A. pulchra,Mahana,430,P2,17°29.232',149°53.253',P2,1:10 PM,P2.4,,,,,,,,,,
A. pulchra,Mahana,431,P4,17°29.231',149°53.242',P4,1:46 PM,P4.9,,,,,,,,,,
A. pulchra,Mahana,432,P5,17°29.220',149°53.236',P5,1:55 PM,P5.5,,,,,,,,,,
A. pulchra,Mahana,433,P1,17°29.234',149°53.264',P1,1:02 PM,P1.5,,,,,,,,,,
A. pulchra,Mahana,434,P1,17°29.234',149°53.264',P1,1:00 PM,P1.4,,,,,,,,,,
A. pulchra,Mahana,435,P4,17°29.231',149°53.242',P4,1:44 PM,P4.8,"not found - tag 419 found, new tag","not found - tag 419 found, new tag","not found - tag 419 found, new tag","not found - tag 419 found, new tag",,,,,,
A. pulchra,Mahana,436,P3,17°29.223',149°53.249',P3,1:29 PM,P3.10,,,,,,,,,,
A. pulchra,Mahana,437,P5,17°29.220',149°53.236',P5,1:50 PM,P5.2,,,,,,,,,,
A. pulchra,Mahana,438,P5,17°29.220',149°53.236',P5,1:59 PM,P5.7,,,,,,,,,,
A. pulchra,Mahana,439,P4,17°29.231',149°53.242',P4,1:47 PM,P4.10,,,,,,,,,,
A. pulchra,Mahana,446,P4,17°29.231',149°53.242',P4,1:36 PM,P4.2,not found,not found,"area found, sampled","area found, sampled",,,,,,
A. pulchra,Mahana,447,P5,17°29.220',149°53.236',P5,1:54 PM,P5.4,not found,not found,"area found, sampled","area found, sampled",,,,,,
A. pulchra,Mahana,448,P4,17°29.231',149°53.242',P4,1:35 PM,P4.1,,,,,,,,,,
A. pulchra,Mahana,449,P2,17°29.232',149°53.253',P2,1:07 PM,P2.2,,not found,"area found, sampled","area found, sampled",,,,,,
