Tag,Species,Site,Patch,Date,Timepoint,Tag.found,Bleaching.score.photo,Formalin.fixed,Sample.storage.location,Physiology.froze,Sample.storage.location,Molecular.froze,Sample.storage.location,Molecular.dna.rna.shield,Sample.storage.location,,,,,,,,,,
462,A. pulchra,Mahana,P1,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
427,A. pulchra,Mahana,P1,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
414,A. pulchra,Mahana,P1,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
434,A. pulchra,Mahana,P1,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
433,A. pulchra,Mahana,P1,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
429,A. pulchra,Mahana,P2,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
449,A. pulchra,Mahana,P2,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
415,A. pulchra,Mahana,P2,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
430,A. pulchra,Mahana,P2,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
416,A. pulchra,Mahana,P2,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
425,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
420,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
417,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
424,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
418,A. pulchra,Mahana,P3,12/10/21,1,yes,yes,yes,Gump.LTER.TallFridge.4°C,yes,URI,no,NA,no,NA,,,,,,,,,,
